time,ax,ay,az,label
0.0,-0.0033568675972994256,0.2341996054352956,0.32929328397262647,normal
0.01,0.2964310026693065,0.1202694299548708,-0.08591260011113813,normal
0.02,0.007127029661864674,-0.1223639281337999,-0.17059852866520347,normal
0.03,-0.29067793168069994,-0.23335787109579967,-0.07926002195229992,normal
0.04,-0.004644412292050952,0.23579944591902538,0.33259417272640496,normal
0.05,0.29665502783780134,0.11957734215681876,-0.07961420987184155,normal
0.06,0.005712614097520761,-0.11810931465056179,-0.17440474704998776,normal
0.07,-0.2973324000342883,-0.23752858168367572,-0.06993984986214044,normal
0.08,0.003382140526604366,0.23032576953583223,0.334145633858108,normal
0.09,0.3044830064742654,0.11653655028534347,-0.07723640127675052,normal
0.1,-0.0012036608087204947,-0.12303380966067497,-0.1649758437149453,normal
0.11,-0.2983501503750493,-0.22690933255802984,-0.07877695414094779,normal
0.12,0.0012609607534900932,0.23697543175711228,0.3364315044276098,normal
0.13,0.29570754199877247,0.11482353720829107,-0.07971564024857186,normal
0.14,0.00157545471607825,-0.11802066131967126,-0.16999126269862908,normal
0.15,-0.29381144651925184,-0.23529814935480317,-0.07682385760604424,normal
0.16,-0.0016706661942172973,0.22993331486420257,0.3378817877314546,normal
0.17,0.3007628462437045,0.11277945547310031,-0.07243975692355407,normal
0.18,0.0010335445800543903,-0.1153485593326121,-0.16703576200870002,normal
0.19,-0.3014233227521764,-0.24016455353989602,-0.07741694070711631,normal
0.2,0.0033845061884729528,0.233085421901512,0.33348021205548245,normal
0.21,0.29659967184372493,0.1154765965730892,-0.07507189543331758,normal
0.22,0.00666322759347945,-0.11632893306636326,-0.16350634030293376,normal
0.23,-0.29686897219183955,-0.23501699692313052,-0.08118292042001783,normal
0.24,-0.004683843003365208,0.2326729245139579,0.33659030644918697,normal
0.25,0.3084900484244312,0.11970448148706346,-0.07828502442964395,normal
0.26,0.0008405073063077811,-0.11869530112703396,-0.16674534188750023,normal
0.27,-0.30361473758617596,-0.23328021397164422,-0.07309025339232868,normal
0.28,0.005522772624958653,0.23312887184675604,0.3337353112504534,normal
0.29,0.3024733575972401,0.11761614292543981,-0.07542002218423623,normal
0.3,-0.008859798521170364,-0.1280817996684233,-0.1719470926664121,normal
0.31,-0.30262830158621995,-0.23893799258927007,-0.07250844228125031,normal
0.32,0.001395486686106739,0.23693763648496272,0.33347843355538065,normal
0.33,0.28920216661178677,0.11867905548508227,-0.07936967141079787,normal
0.34,0.00042535042693682304,-0.12352820169032525,-0.16449462806553447,normal
0.35000000000000003,-0.2992101031364743,-0.24037387851365102,-0.06706084751119629,normal
0.36,-0.005917459411880216,0.22474700209110765,0.32415537749089035,normal
0.37,0.3013532244312999,0.11669211840107285,-0.08401866311461671,normal
0.38,3.73191956250451e-05,-0.11576788853148653,-0.15657347345582057,normal
0.39,-0.30595647052942565,-0.2361305887596724,-0.07786652578847697,normal
0.4,0.004597802734316455,0.23534766541776864,0.33095434839315785,normal
0.41000000000000003,0.30418926897383775,0.11719285365472207,-0.08057692870831108,normal
0.42,-0.0014486854342619046,-0.11701381932156857,-0.16395781999514278,normal
